intern_id,score,domain
INT0001,96.5,Artificial Intelligence
INT0002,94.0,UI/UX Design
INT0003,91.5,Artificial Intelligence
INT0004,89.0,Mobile App Development
INT0005,87.5,UI/UX Design
INT0006,85.5,Artificial Intelligence
INT0007,81.54,Cyber Security
INT0008,68.97,UI/UX Design
INT0009,70.31,UI/UX Design
INT0010,71.99,Mobile App Development
INT0011,78.32,Data Science
INT0012,85.23,Artificial Intelligence
INT0013,83.03,Artificial Intelligence
INT0014,65.5,UI/UX Design
INT0015,89.13,Mobile App Development
INT0016,90.83,Web Development
INT0017,77.03,Cyber Security
INT0018,89.34,Mobile App Development
INT0020,83.75,UI/UX Design
INT0021,77.62,Cyber Security
INT0022,94.93,UI/UX Design
INT0023,77.07,UI/UX Design
INT0024,74.01,Data Science
INT0025,78.71,Data Science
INT0026,78.68,Mobile App Development
INT0027,74.49,Data Science
INT0028,95.7,Web Development
INT0029,86.17,Artificial Intelligence
INT0030,66.44,Mobile App Development
INT0031,77.69,Cyber Security
INT0033,73.21,Web Development
INT0035,71.85,Mobile App Development
INT0036,78.19,Data Science
INT0037,77.91,Artificial Intelligence
INT0038,85.4,Cyber Security
INT0039,71.72,Cyber Security
INT0040,79.67,Mobile App Development
INT0041,79.04,Cyber Security
INT0042,81.76,Artificial Intelligence
INT0043,73.68,Artificial Intelligence
INT0044,72.82,Data Science
INT0045,79.77,UI/UX Design
INT0047,80.95,Artificial Intelligence
INT0048,77.71,Data Science
INT0049,77.16,Web Development
INT0050,84.22,Cyber Security
INT0051,75.18,UI/UX Design
INT0052,85.24,Data Science
INT0053,90.78,Artificial Intelligence
INT0055,83.04,Data Science
INT0056,77.9,Web Development
INT0057,90.72,Cyber Security
INT0058,81.96,Data Science
INT0060,88.99,Artificial Intelligence
INT0063,80.18,Artificial Intelligence
INT0065,77.95,Cyber Security
INT0066,78.13,Cyber Security
INT0067,86.76,Cyber Security
INT0068,80.48,Artificial Intelligence
INT0071,79.7,Data Science
INT0072,63.0,Cyber Security
INT0074,81.33,Artificial Intelligence
INT0075,62.61,Web Development
INT0076,86.67,Mobile App Development
INT0077,90.93,Mobile App Development
INT0078,91.79,Mobile App Development
INT0079,77.18,Web Development
INT0080,98.89,Mobile App Development
INT0081,74.86,UI/UX Design
INT0082,78.19,Artificial Intelligence
INT0083,88.9,Web Development
INT0084,100,Web Development
INT0085,84.99,Artificial Intelligence
INT0086,86.88,Artificial Intelligence
INT0087,88.06,Web Development
INT0088,87.28,Web Development
INT0089,89.58,Cyber Security
INT0090,83.0,Cyber Security
INT0093,86.87,Data Science
INT0097,70.27,UI/UX Design
INT0098,77.9,Web Development
INT0100,72.19,UI/UX Design
INT0101,70.05,UI/UX Design
INT0102,74.73,Web Development
INT0103,75.35,Artificial Intelligence
INT0104,100,UI/UX Design
INT0105,90.82,Mobile App Development
INT0106,59.46,Data Science
INT0107,84.4,Artificial Intelligence
INT0108,73.8,Data Science
INT0109,79.13,Artificial Intelligence
INT0111,79.66,Artificial Intelligence
INT0112,87.78,Cyber Security
INT0113,77.94,Web Development
INT0114,92.17,Cyber Security
INT0115,96.56,UI/UX Design
INT0116,71.25,Artificial Intelligence
INT0118,81.56,Web Development
INT0119,76.17,UI/UX Design
INT0120,86.83,UI/UX Design
INT0121,74.67,UI/UX Design
INT0123,77.63,UI/UX Design
INT0124,83.72,Data Science
INT0125,87.64,Data Science
INT0126,85.19,Data Science
INT0127,84.05,Data Science
INT0128,72.92,Data Science
INT0130,79.55,Cyber Security
INT0131,78.7,Artificial Intelligence
INT0132,78.78,Web Development
INT0133,79.0,Data Science
INT0135,89.38,Data Science
INT0137,61.93,Cyber Security
INT0138,92.76,Data Science
INT0140,85.27,Cyber Security
INT0141,85.43,UI/UX Design
INT0143,93.8,Mobile App Development
INT0144,72.81,Artificial Intelligence
INT0145,76.66,Artificial Intelligence
INT0147,87.92,Web Development
INT0150,89.21,Mobile App Development
INT0152,86.15,Data Science
INT0154,69.12,Web Development
INT0155,86.94,Cyber Security
INT0157,73.28,Web Development
INT0158,80.09,Data Science
INT0159,73.83,Artificial Intelligence
INT0160,84.69,Cyber Security
INT0161,79.94,Data Science
INT0162,85.69,Web Development
INT0163,79.28,Web Development
INT0164,83.0,Cyber Security
INT0165,80.8,UI/UX Design
INT0166,90.33,Mobile App Development
INT0167,86.75,Mobile App Development
INT0168,78.66,Artificial Intelligence
INT0169,78.22,Mobile App Development
INT0171,72.59,Data Science
INT0172,73.24,Data Science
INT0173,81.83,Cyber Security
INT0175,85.07,Data Science
INT0176,77.36,Mobile App Development
INT0177,79.75,Data Science
INT0178,91.97,UI/UX Design
INT0179,83.09,UI/UX Design
INT0180,65.01,Artificial Intelligence
INT0181,61.0,UI/UX Design
INT0182,77.07,Mobile App Development
INT0183,68.56,Mobile App Development
INT0184,79.97,UI/UX Design
INT0186,89.99,Artificial Intelligence
