intern_id,applicant_id,domain,start_date,completion_status
INT0001,APP0382,Artificial Intelligence,2025-03-11,Completed
INT0002,APP0217,UI/UX Design,2025-03-23,Completed
INT0003,APP0288,Artificial Intelligence,2025-03-13,Completed
INT0004,APP0270,Mobile App Development,2025-03-18,Completed
INT0005,APP0010,UI/UX Design,2025-03-10,Completed
INT0006,APP0182,Artificial Intelligence,2025-03-10,Completed
INT0007,APP0334,Cyber Security,2025-03-24,Completed
INT0008,APP0002,UI/UX Design,2025-03-19,Completed
INT0009,APP0326,UI/UX Design,2025-03-13,Completed
INT0010,APP0258,Mobile App Development,2025-03-16,Completed
INT0011,APP0042,Data Science,2025-03-17,Completed
INT0012,APP0115,Artificial Intelligence,2025-03-18,Completed
INT0013,APP0054,Artificial Intelligence,2025-03-14,Completed
INT0014,APP0276,UI/UX Design,2025-03-20,Completed
INT0015,APP0380,Mobile App Development,2025-03-23,Completed
INT0016,APP0062,Web Development,2025-03-11,Completed
INT0017,APP0342,Cyber Security,2025-03-16,Completed
INT0018,APP0226,Mobile App Development,2025-03-15,Completed
INT0019,APP0303,Cyber Security,2025-03-12,Dropped Out
INT0020,APP0169,UI/UX Design,2025-03-17,Completed
INT0021,APP0121,Cyber Security,2025-03-15,Completed
INT0022,APP0250,UI/UX Design,2025-03-15,Completed
INT0023,APP0137,UI/UX Design,2025-03-20,Completed
INT0024,APP0196,Data Science,2025-03-11,Completed
INT0025,APP0400,Data Science,2025-03-22,Completed
INT0026,APP0286,Mobile App Development,2025-03-21,Completed
INT0027,APP0415,Data Science,2025-03-10,Completed
INT0028,APP0256,Web Development,2025-03-11,Completed
INT0029,APP0027,Artificial Intelligence,2025-03-20,Completed
INT0030,APP0039,Mobile App Development,2025-03-16,Completed
INT0031,APP0291,Cyber Security,2025-03-12,Completed
INT0032,APP0176,UI/UX Design,2025-03-17,Completed
INT0033,APP0211,Web Development,2025-03-17,Completed
INT0034,APP0417,UI/UX Design,2025-03-16,Dropped Out
INT0035,APP0212,Mobile App Development,2025-03-19,Completed
INT0036,APP0090,Data Science,2025-03-16,Completed
INT0037,APP0281,Artificial Intelligence,2025-03-17,Completed
INT0038,APP0387,Cyber Security,2025-03-11,Completed
INT0039,APP0204,Cyber Security,2025-03-18,Completed
INT0040,APP0181,Mobile App Development,2025-03-11,Completed
INT0041,APP0383,Cyber Security,2025-03-20,Completed
INT0042,APP0021,Artificial Intelligence,2025-03-24,Completed
INT0043,APP0046,Artificial Intelligence,2025-03-23,Completed
INT0044,APP0163,Data Science,2025-03-22,Completed
INT0045,APP0154,UI/UX Design,2025-03-22,Completed
INT0046,APP0363,Mobile App Development,2025-03-21,Dropped Out
INT0047,APP0386,Artificial Intelligence,2025-03-23,Completed
INT0048,APP0236,Data Science,2025-03-19,Completed
INT0049,APP0365,Web Development,2025-03-12,Completed
INT0050,APP0356,Cyber Security,2025-03-15,Completed
INT0051,APP0017,UI/UX Design,2025-03-19,Completed
INT0052,APP0389,Data Science,2025-03-14,Completed
INT0053,APP0310,Artificial Intelligence,2025-03-22,Completed
INT0054,APP0353,Artificial Intelligence,2025-03-20,Dropped Out
INT0055,APP0124,Data Science,2025-03-24,Completed
INT0056,APP0064,Web Development,2025-03-17,Completed
INT0057,APP0073,Cyber Security,2025-03-12,Completed
INT0058,APP0203,Data Science,2025-03-19,Completed
INT0059,APP0074,UI/UX Design,2025-03-15,Dropped Out
INT0060,APP0180,Artificial Intelligence,2025-03-14,Completed
INT0061,APP0140,UI/UX Design,2025-03-22,Dropped Out
INT0062,APP0165,Mobile App Development,2025-03-24,Dropped Out
INT0063,APP0130,Artificial Intelligence,2025-03-14,Completed
INT0064,APP0078,Artificial Intelligence,2025-03-12,Completed
INT0065,APP0086,Cyber Security,2025-03-11,Completed
INT0066,APP0316,Cyber Security,2025-03-10,Completed
INT0067,APP0237,Cyber Security,2025-03-13,Completed
INT0068,APP0409,Artificial Intelligence,2025-03-16,Completed
INT0069,APP0401,UI/UX Design,2025-03-15,Completed
INT0070,APP0041,UI/UX Design,2025-03-19,Dropped Out
INT0071,APP0331,Data Science,2025-03-14,Completed
INT0072,APP0333,Cyber Security,2025-03-18,Completed
INT0073,APP0406,Mobile App Development,2025-03-17,Dropped Out
